City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Portland,US,45.5234,-122.6762,290.48,83,100,1.33,overcast clouds
179,Kamenka,RU,51.3223,42.7678,283.17,91,100,2.8,light rain
180,Slave Lake,CA,55.2834,-114.769,280.14,49,0,0.0,clear sky
181,Jamkhed,IN,18.7362,75.3121,307.74,27,8,4.42,clear sky
182,Qaanaaq,GL,77.484,-69.3632,264.15,66,68,2.85,broken clouds
183,Cabedelo,BR,-6.9811,-34.8339,298.52,86,43,3.74,scattered clouds
184,Sao Joao Da Barra,BR,-21.6403,-41.0511,295.47,74,96,3.93,overcast clouds
185,Port Hedland,AU,-20.3167,118.5667,303.18,32,75,5.66,broken clouds
186,Bandarbeyla,SO,9.4942,50.8122,304.23,59,8,8.55,clear sky
187,Alofi,NU,-19.0595,-169.9187,295.09,73,83,2.06,broken clouds
188,Am Timan,TD,11.0297,20.2827,297.43,73,100,4.73,light rain
189,Mount Gambier,AU,-37.8333,140.7667,288.1,94,100,9.26,overcast clouds
190,Olafsvik,IS,64.8945,-23.7142,279.63,94,100,6.87,overcast clouds
191,Paamiut,GL,61.994,-49.6678,270.38,71,80,5.32,broken clouds
192,Aberdeen,GB,57.1437,-2.0981,280.42,93,100,1.03,overcast clouds
193,Tura,IN,25.5198,90.2201,300.47,84,84,3.13,light rain
194,Axim,GH,4.8699,-2.2405,299.07,87,96,1.46,light rain
195,Verkhnevilyuysk,RU,63.4453,120.3167,280.67,40,43,1.91,scattered clouds
196,Taltal,CL,-25.4,-70.4833,287.94,81,24,0.35,few clouds
197,Katsuura,JP,35.1333,140.3,290.68,73,100,8.06,overcast clouds
198,Fortuna,US,40.5982,-124.1573,287.09,95,100,0.0,overcast clouds
199,Cayenne,GF,4.9333,-52.3333,300.42,1,75,1.34,mist
200,Bowen,AU,-20.0167,148.2333,297.97,72,14,1.28,few clouds
201,Barra,BR,-11.0894,-43.1417,297.17,62,92,3.6,overcast clouds
202,Grand Gaube,MU,-20.0064,57.6608,299.47,69,2,2.68,clear sky
203,Mizan Teferi,ET,6.9833,35.5833,292.28,94,91,0.89,light rain
204,Abu Samrah,SY,35.3029,37.1841,299.42,28,93,8.39,overcast clouds
205,Isfana,KG,39.8386,69.5306,287.46,65,100,2.4,overcast clouds
206,Nhulunbuy,AU,-12.2333,136.7667,303.49,54,13,3.6,few clouds
207,Talnakh,RU,69.4865,88.3972,276.18,100,100,3.16,overcast clouds
208,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,298.17,86,82,2.49,broken clouds
209,Parana,AR,-31.732,-60.5238,286.24,60,93,4.14,overcast clouds
210,Umm Kaddadah,SD,13.6017,26.6876,301.3,45,28,1.24,light rain
211,Cabo San Lucas,MX,22.8909,-109.9124,299.05,34,100,2.24,overcast clouds
212,Santa Isabel,BR,-23.3156,-46.2214,290.76,98,98,1.55,overcast clouds
213,Zhigansk,RU,66.7697,123.3711,273.96,49,17,3.04,few clouds
214,Pundaguitan,PH,6.3711,126.1689,299.39,87,100,5.98,light rain
215,Rabo De Peixe,PT,37.8,-25.5833,287.88,94,75,10.8,light intensity shower rain
216,Bethel,US,41.3712,-73.414,291.2,93,100,0.0,overcast clouds
217,Custodia,BR,-8.0875,-37.6431,292.17,97,51,2.0,broken clouds
218,Oga,IT,46.4631,10.347,284.15,88,45,0.55,scattered clouds
219,Pryshyb,UA,47.2603,35.3228,288.48,71,15,4.67,few clouds
220,Indramayu,ID,-6.3264,108.32,303.61,69,97,2.94,overcast clouds
221,Arraial Do Cabo,BR,-22.9661,-42.0278,295.8,73,98,7.01,overcast clouds
222,Turkistan,KZ,43.0,68.0,297.29,35,0,2.24,clear sky
223,Hasaki,JP,35.7333,140.8333,291.37,58,100,5.65,overcast clouds
224,Touros,BR,-5.1989,-35.4608,297.62,92,65,4.12,broken clouds
225,Monrovia,LR,6.3005,-10.7969,299.52,87,100,2.66,overcast clouds
226,Kuopio,FI,62.8924,27.677,280.12,87,75,5.14,light rain
227,Mahebourg,MU,-20.4081,57.7,299.96,78,40,3.6,scattered clouds
228,Olenino,RU,56.2092,33.4889,279.86,95,100,2.66,light rain
229,Tazovskiy,RU,67.4667,78.7,282.25,78,91,5.99,overcast clouds
230,Mackay,AU,-21.15,149.2,297.97,76,0,2.95,clear sky
231,Mata,PT,40.683,-7.4592,287.93,84,80,2.43,broken clouds
